Var1状态,Objective,起点场景,目标场景,路径长度,逐场景路径,首个RouteMarker候选,必要条件摘要,安全性,状态
41,处理观星台与旅店发生的事件后，与同伴重新会合。,mp1007b,mp0702,10,mp1007b --Event16--> mp1008 | mp1008 --Event13--> mp1003c | mp1003c --Event12--> mp1002c | mp1002c --Event13--> mp1009a | mp1009a --Event12--> mp1701 | mp1701 --Event14--> mp1703 | mp1703 --Event13--> mp1702 | mp1702 --Event12--> mp3001 | mp3001 --Event22--> mp0701 | mp0701 --Event15--> mp0702,"Event16 event @(1137,695)",Event16:true | Event13:var[641] != 2 | Event12:var[2014] == 1 | Event13:var[1] != 70 | Event12:var[1] != 66 && var[606] != 1 && var[629] == 1 | Event14:true | Event13:true | Event12:true | Event22:var[1] != 67 | Event15:var[1] != 46,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
42,休养后继续调查夏侯仪身世及楼兰相关线索。,mp0702,mp1407,3,mp0702 --Event15--> mp0701 | mp0701 --Event12--> mp3001 | mp3001 --Event38--> mp1407,"Event15 ice_alone @(817,805)",Event15:var[1] != 41 | Event12:var[1] != 62 | Event38:var[1] == 42 && var[593] == 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
44,进入方违之阵，破解七步迷阵。,mp1407,mp1407,0,mp1407,,true,A,当前场景目标
45,穿过方违之阵，与各派会合并继续追查天动仪。,mp1407,mp1013,21,mp1407 --Event12--> mp1402 | mp1402 --Event12--> mp1401-1 | mp1401-1 --Event19--> mp1403 | mp1403 --Event18--> mp1404 | mp1404 --Event19--> mp1405a | mp1405a --Event17--> mp1405 | mp1405 --Event24--> mp1009f2 | mp1009f2 --Event12--> mp1006b | mp1006b --Event14--> mp1006a | mp1006a --Event12--> mp1005a | mp1005a --Event18--> mp1004a | mp1004a --Event14--> mp1003a | mp1003a --Event12--> mp1003b | mp1003b --Event13--> mp1003c | mp1003c --Event12--> mp1001c | mp1001c --Event13--> mp1009a | mp1009a --Event13--> mp1009e | mp1009e --Event13--> mp1010 | mp1010 --Event12--> mp1010a | mp1010a --Event17--> mp1014a | mp1014a --Event12--> mp1013,"Event12 沙上 @(323,-30)",Event12:true | Event12:true | Event19:true | Event18:true | Event19:true | Event17:var[583] != 1 | Event24:true | Event12:true | Event14:true | Event12:true | Event18:true | Event14:true | Event12:var[1] != 69 && var[606] != 0 | Event13:true | Event12:var[2014] != 1 && var[606] != 0 | Event13:var[1] != 65 && var[1] >= 45 | Event13:true | Event13:true | Event12:true | Event17:var[629] != 1 | Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
46,推进天动仪／天枢仪座的重大剧情，确认下一目的地。,mp1013,mp0701,2,mp1013 --Event13--> mp0705 | mp0705 --Event18--> mp0701,"Event13  @(,)",Event13:true | Event18:var[1] != 62,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
47,高昌阶段结束后转往沙州，继续追寻西域遗迹线索。,mp0701,mp1301,2,mp0701 --Event12--> mp3001 | mp3001 --Event24--> mp1301,"Event12  @(,)",Event12:var[1] != 62 | Event24:var[9] != 3 && var[9] >= 6,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
48,寻找相桓子，询问破除妖龙炼甲的方法。,mp1301,mp1701,4,mp1301 --Event12--> mp3001 | mp3001 --Event31--> mp1702 | mp1702 --Event13--> mp1703 | mp1703 --Event14--> mp1701,"Event12 右方出口 @(1894,289)",Event12:true | Event31:var[544] != 6 | Event13:true | Event14:var[544] != 8,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
49,调查罗布泊，在盐层下找到古城入口。,mp1701,mp3001,3,mp1701 --Event14--> mp1703 | mp1703 --Event13--> mp1702 | mp1702 --Event12--> mp3001,"Event14 event_line @(1518,358)",Event14:true | Event13:true | Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
50,抵达沙州，了解时轮宫的警示与当前局势。,mp3001,mp2002,2,mp3001 --Event28--> mp2001 | mp2001 --Event13--> mp2002,"Event28 nd3001-a.SF2 @(2155,1184)",Event28:var[658] != 0 | Event13:var[1158] != 1 && var[658] != 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
51,寻找呼延崇，取得千佛洞密室和刻盘碎片的线索。,mp2002,mp1206,7,mp2002 --Event13--> mp2001 | mp2001 --Event12--> mp3001 | mp3001 --Event25--> mp1201 | mp1201 --Event15--> mp1202 | mp1202 --Event12--> mp1204 | mp1204 --Event13--> mp1205 | mp1205 --Event12--> mp1206,"Event13  @(,)",Event13:true | Event12:var[1] == 51 | Event25:true | Event15:true | Event12:var[627] != 0 | Event13:var[627] != 1 | Event12:var[627] != 2,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
52,取得第四片刻盘碎片，并返回天动仪区域继续调查。,mp1206,mp1009b,1,mp1206 --Event22--> mp1009b,"Event22  @(,)",Event22:var[1155] != 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
53,启动天动仪区域机关，进入天枢仪座。,mp1009b,mp1016a,13,mp1009b --Event12--> mp1009a | mp1009a --Event13--> mp1009e | mp1009e --Event13--> mp1010 | mp1010 --Event12--> mp1010a | mp1010a --Event17--> mp1014a | mp1014a --Event13--> mp1015a | mp1015a --Event21--> mp1015b | mp1015b --Event13--> mp1015c | mp1015c --Event13--> mp1015d | mp1015d --Event13--> mp1015c1 | mp1015c1 --Event13--> mp1015e | mp1015e --Event13--> mp1015f | mp1015f --Event13--> mp1016a,"Event12 右方大開關 @(464,238)",Event12:var[3057] != 1 | Event13:true | Event13:true | Event12:true | Event17:var[629] != 1 | Event13:var[1] <= 66 | Event21:true | Event13:true | Event13:true | Event13:true | Event13:true | Event13:true | Event13:var[629] == 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
54,深入天枢仪座并击败肓瘫。,mp1016a,mp1101,7,mp1016a --Event12--> mp1010a | mp1010a --Event17--> mp1014a | mp1014a --Event12--> mp1013 | mp1013 --Event13--> mp0705 | mp0705 --Event18--> mp0701 | mp0701 --Event12--> mp3001 | mp3001 --Event23--> mp1101,"Event12 上方出入口 @(1091,345)",Event12:var[1] > 53 | Event17:var[629] != 1 | Event12:true | Event13:true | Event18:var[1] != 62 | Event12:var[1] != 62 | Event23:var[1] != 49,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
55,与中原各派会合，继续追查“蚀”与幻城的关系。,mp1101,mp1101,0,mp1101,,true,A,当前场景目标
56,向察斯葛打听幻城的消息。,mp1101,mp1502,3,mp1101 --Event12--> mp3001 | mp3001 --Event26--> mp1501 | mp1501 --Event14--> mp1502,"Event12  @(,)",Event12:var[544] != 5 && var[3] != 3 | Event26:true | Event14:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
57,根据尼雅库迪老爹的线索前往古烽火台。,mp1502,mp3001,2,mp1502 --Event14--> mp1501 | mp1501 --Event17--> mp3001,"Event14  @(,)",Event14:true | Event17:var[3] != 9 && var[3] != 8 && var[3] != 7 && var[3] != 6 && var[3] != 5 && var[3] != 4,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
58,调查古烽火台，确认幻城位置与幻障的存在。,mp3001,mp1901,1,mp3001 --Event32--> mp1901,"Event32  @(,)",Event32:var[1] != 57 && var[616] != 0,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
59,进入古烽火台内部，寻找破除幻障的方法。,mp1901,mp1905,4,mp1901 --Event16--> mp1902 | mp1902 --Event14--> mp1903b | mp1903b --Event17--> mp1903c | mp1903c --Event16--> mp1905,"Event16  @(,)",Event16:var[1] != 58 | Event14:true | Event17:true | Event16:var[1] == 59 && var[639] == 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
60,使用诸幻神镜破除幻障，继续追查楼兰七曜机关。,mp1905,mp1005b,15,mp1905 --Event16--> mp1903e | mp1903e --Event17--> mp1903f | mp1903f --Event16--> mp1903c | mp1903c --Event17--> mp1903b | mp1903b --Event16--> mp1902 | mp1902 --Event16--> mp1901 | mp1901 --Event12--> mp3001 | mp3001 --Event35--> mp1002g | mp1002g --Event12--> mp1002a1 | mp1002a1 --Event13--> mp1002a2 | mp1002a2 --Event15--> mp1002b1 | mp1002b1 --Event12--> mp1003a | mp1003a --Event14--> mp1004a | mp1004a --Event13--> mp1005a | mp1005a --Event16--> mp1005b,"Event16  @(,)",Event16:true | Event17:var[1] != 59 | Event16:var[1] != 59 | Event17:true | Event16:true | Event16:true | Event12:var[3] != 11 | Event35:true | Event12:true | Event13:true | Event15:true | Event12:true | Event14:var[1] != 68 | Event13:true | Event16:var[1] != 65 && var[641] != 4,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
61,解开楼兰七曜圆珠机关，并准备修复星晷刻盘。,mp1005b,mp0704,11,mp1005b --Event12--> mp1005a | mp1005a --Event18--> mp1004a | mp1004a --Event14--> mp1003a | mp1003a --Event15--> mp1001b1 | mp1001b1 --Event12--> mp1001a2 | mp1001a2 --Event13--> mp1001a1 | mp1001a1 --Event12--> mp1002g | mp1002g --Event13--> mp3001 | mp3001 --Event22--> mp0701 | mp0701 --Event18--> mp0705 | mp0705 --Event16--> mp0704,"Event12  @(,)",Event12:var[657] != 1 | Event18:true | Event14:true | Event15:var[1] != 69 && var[2014] != 1 && var[1] != 65 && var[629] != 1 | Event12:true | Event13:true | Event12:true | Event13:true | Event22:var[1] != 67 | Event18:var[1] != 62 | Event16:var[1] <= 63 && var[1] != 63 && var[1] > 41 && var[30] != 0 && var[20] != 3,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
62,把星晷刻盘交给谭铁匠修复。,mp0704,mp0701,2,mp0704 --Event12--> mp0705 | mp0705 --Event18--> mp0701,"Event12  @(,)",Event12:true | Event18:var[1] == 62,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
63,处理甘州的夜间与人物关系事件，等待刻盘修复完成。,mp0701,mp0705,1,mp0701 --Event18--> mp0705,"Event18 出入口 @(3472,12)",Event18:var[1] != 62,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
64,取回修复后的星晷刻盘，重返天动仪核心。,mp0705,mp1009a,6,mp0705 --Event18--> mp0701 | mp0701 --Event12--> mp3001 | mp3001 --Event31--> mp1702 | mp1702 --Event13--> mp1703 | mp1703 --Event14--> mp1701 | mp1701 --Event12--> mp1009a,"Event18 摸劍的大漢 @(417,544)",Event18:var[1] != 62 | Event12:var[1] != 62 | Event31:var[544] != 6 | Event13:true | Event14:var[544] != 8 | Event12:var[627] != 6,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
65,回到天动仪核心，应对汉军入城造成的新局势。,mp1009a,mp1013,5,mp1009a --Event13--> mp1009e | mp1009e --Event13--> mp1010 | mp1010 --Event12--> mp1010a | mp1010a --Event17--> mp1014a | mp1014a --Event12--> mp1013,"Event13  @(,)",Event13:true | Event13:true | Event12:true | Event17:var[629] != 1 | Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
66,继续推进天枢仪座与汉军相关剧情。,mp1013,mp1013,0,mp1013,,true,A,当前场景目标
67,确认幽界即将降临后，回甘州与葛云衣制定最终计划。,mp1013,mp3001,3,mp1013 --Event13--> mp0705 | mp0705 --Event18--> mp0701 | mp0701 --Event12--> mp3001,"Event13  @(,)",Event13:true | Event18:var[1] != 62 | Event12:var[1] != 62,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
68,与葛云衣完成最终计划，返回楼兰阻止四派。,mp3001,mp1003a,5,mp3001 --Event35--> mp1002g | mp1002g --Event12--> mp1002a1 | mp1002a1 --Event13--> mp1002a2 | mp1002a2 --Event15--> mp1002b1 | mp1002b1 --Event12--> mp1003a,"Event35  @(,)",Event35:true | Event12:true | Event13:true | Event15:true | Event12:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
69,进入楼兰城，追上已经进入城内的四派。,mp1003a,mp1005a,2,mp1003a --Event14--> mp1004a | mp1004a --Event13--> mp1005a,"Event14 左下樓梯 @(732,1121)",Event14:var[1] != 68 | Event13:true,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
70,前往华穹殿阻止四派，并处理同伴的重大剧情分支。,mp1005a,mp1007c,6,mp1005a --Event18--> mp1004a | mp1004a --Event14--> mp1003a | mp1003a --Event12--> mp1003b | mp1003b --Event13--> mp1003c | mp1003c --Event14--> mp1008 | mp1008 --Event12--> mp1007c,"Event18 往上的場景 @(327,601)",Event18:true | Event14:true | Event12:var[1] != 69 && var[606] != 0 | Event13:true | Event14:var[1] != 39 | Event12:var[1] != 73 && var[1] == 70,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
71,完成楼兰城末段剧情，准备通过荒茫厉界登上幽神城砦。,mp1007c,mp1014a,8,mp1007c --Event16--> mp1008 | mp1008 --Event13--> mp1003c | mp1003c --Event12--> mp1001c | mp1001c --Event13--> mp1009a | mp1009a --Event13--> mp1009e | mp1009e --Event13--> mp1010 | mp1010 --Event12--> mp1010a | mp1010a --Event17--> mp1014a,"Event16  @(,)",Event16:true | Event13:var[641] != 2 | Event12:var[2014] != 1 && var[606] != 0 | Event13:var[1] != 65 && var[1] >= 45 | Event13:true | Event13:true | Event12:true | Event17:var[629] != 1,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
72,按计划准备镇曜大法，等待逆转仪式的机会。,mp1014a,mp1014a,0,mp1014a,,true,A,当前场景目标
73,逆转镇曜大法并开启“蚀”的通道。,mp1014a,mp1007c,8,mp1014a --Event14--> mp1010a | mp1010a --Event16--> mp1010 | mp1010 --Event13--> mp1009e | mp1009e --Event12--> mp1009a | mp1009a --Event12--> mp1001c | mp1001c --Event12--> mp1003c | mp1003c --Event14--> mp1008 | mp1008 --Event12--> mp1007c,"Event14 miran_s @(1090,1082)",Event14:true | Event16:true | Event13:true | Event12:true | Event12:var[1] != 66 && var[606] == 1 && var[657] != 4 | Event12:true | Event14:var[1] != 39 | Event12:var[1] == 73,B（只使用稳定条件边；非Var1持久条件仍需运行时求值）,已闭合
74,完成降曜之仪后的终局流程，前往最终区域。,mp1007c,,0,终局持久阶段,,,A,终局
